System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 09
Recording date:	 01/04/2009
Recording time:	 12:32:14
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:01:46

Participant:	 P6
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1947.445low.JPG																	
27	12:32:14.027	00:00:00.027	0	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	27256	8064535718	
67	12:32:14.067	00:00:00.067	1	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	67160	8064575622	
87	12:32:14.087	00:00:00.087	2	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	87015	8064595477	
107	12:32:14.107	00:00:00.106	3	-1280	-1024	0.6451893	0.6044242	-1	-1	4	-1280	-1024	0.3998891	0.6164756	-1	-1	4		0	0						1947.445low.JPG	0	414	332	433	346				0	Content		-433	-346	106890	8064615352	
127	12:32:14.127	00:00:00.126	4	285.4082	548.7911	0.645262	0.6041633	774.453	4.638366	0	203.4363	481.9672	0.3999044	0.6160143	768.2759	3.58662	0		244	515						1947.445low.JPG	0	414	332	433	346				0	Content		-189	169	126887	8064635349	
147	12:32:14.147	00:00:00.146	5	233.1267	509.954	0.6449511	0.6041139	774.453	4.476513	0	309.1823	551.0937	0.3997227	0.6160225	768.2759	3.738741	0		271	531						1947.445low.JPG	0	414	332	433	346				0	Content		-162	185	146929	8064655391	
167	12:32:14.167	00:00:00.166	6	439.7664	490.6988	0.6434609	0.6044083	774.453	4.186361	0	400.1038	446.2243	0.3982645	0.6165861	768.2759	3.771483	0		420	468						1947.445low.JPG	0	414	332	433	346				0	Content		-13	122	166778	8064675240	
187	12:32:14.187	00:00:00.186	7	388.5832	546.1416	0.6432458	0.6050856	774.453	4.641864	0	392.5625	616.848	0.3978647	0.6170958	768.2759	3.70392	0		391	581						1947.445low.JPG	0	414	332	433	346				0	Content		-42	235	186775	8064695237	
207	12:32:14.207	00:00:00.206	8	424.9728	526.1011	0.6431808	0.605951	771.3005	4.470784	0	395.9413	602.8385	0.3978222	0.6179863	767.2965	3.698601	0		410	564						1947.445low.JPG	0	414	332	433	346				0	Content		-23	218	206639	8064715101	
227	12:32:14.227	00:00:00.226	9	477.6379	529.8971	0.6429721	0.6063603	771.3005	4.263943	0	430.7463	447.1633	0.3976152	0.6185735	767.2965	3.543338	0		454	489						1947.445low.JPG	0	414	332	433	346				0	Content		21	143	226648	8064735110	
247	12:32:14.247	00:00:00.246	10	424.9503	648.302	0.642626	0.6060524	771.3005	4.629662	0	370.4785	497.4536	0.3972146	0.618046	767.2965	3.420118	0		398	573						1947.445low.JPG	0	414	332	433	346				0	Content		-35	227	246515	8064754977	
266	12:32:14.266	00:00:00.266	11	567.3728	639.8218	0.641607	0.6046817	771.3005	4.205409	0	469.5953	499.6609	0.3962202	0.6169525	767.2965	3.61475	0		518	570						1947.445low.JPG	0	414	332	433	346				0	Content		85	224	266415	8064774877	
286	12:32:14.286	00:00:00.286	12	540.4168	590.9485	0.6404864	0.6033076	771.3005	4.553308	0	584.1991	426.54	0.395382	0.6157957	767.2965	3.822461	0		562	509						1947.445low.JPG	0	414	332	433	346				0	Content		129	163	286394	8064794856	
306	12:32:14.306	00:00:00.306	13	553.079	648.8724	0.640302	0.6026812	775.0499	4.407336	0	591.4464	443.6802	0.395078	0.6153277	771.0458	3.85112	0		572	546						1947.445low.JPG	0	414	332	433	346				0	Content		139	200	306263	8064814725	
326	12:32:14.326	00:00:00.326	14	566.725	508.4448	0.6399776	0.6030199	775.0499	4.620353	0	537.2708	400.0441	0.3947833	0.615721	771.0458	3.679677	0		552	454						1947.445low.JPG	0	414	332	433	346				0	Content		119	108	326267	8064834729	
346	12:32:14.346	00:00:00.346	15	629.3774	554.7657	0.6402879	0.6038014	775.0499	4.360188	0	548.4203	480.1605	0.3949744	0.6164968	771.0458	3.818546	0		589	517						1947.445low.JPG	0	414	332	433	346				0	Content		156	171	346260	8064854722	
366	12:32:14.366	00:00:00.366	16	574.7957	570.8414	0.6406423	0.6046697	775.0499	4.526955	0	621.5313	585.8928	0.3954206	0.617448	771.0458	3.881527	0		598	578						1947.445low.JPG	0	414	332	433	346				0	Content		165	232	366157	8064874619	
