System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 hcw
Machine Name:	 RPC354

Data properties:

Recording name:	 Rec 66
Recording date:	 05/04/2009
Recording time:	 16:27:28
Recording resolution:	 1280 x 1024

Export date:	 24/10/2012
Export time:	 12:02:10

Participant:	 P64
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 100
Min duration: 200

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	1934.394med_resized.jpg																	
30	16:27:28.030	00:00:00.030	0	637.6948	408.1313	0.7005683	0.5326999	728.9344	3.050637	0	644.9387	444.3362	0.4475519	0.555874	722.3204	2.986966	0	0	641	426						1934.394med_resized.jpg	0	1000	673	140	175	492	244	319	0	Content		501	251	30320	18282670349	
50	16:27:28.050	00:00:00.050	1	592.7351	350.5959	0.7006906	0.5329336	728.9344	3.09721	0	607.9617	382.4333	0.4476399	0.5557351	722.3204	3.014988	0	0	600	367						1934.394med_resized.jpg	0	1000	673	140	175	492	244	319	0	Content		460	192	50194	18282690223	
70	16:27:28.070	00:00:00.070	2	559.5504	170.0914	0.7005001	0.5322086	728.9344	3.104052	0	592.4063	227.6864	0.4483508	0.5543975	722.3204	3.016351	0	1	576	199						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		436	24	70191	18282710220	
90	16:27:28.090	00:00:00.090	3	538.5024	142.3969	0.7005754	0.533029	727.806	3.106181	0	583.0808	192.3604	0.4483906	0.5550491	728.063	3.041193	0	1	561	167						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		421	-8	90228	18282730257	
110	16:27:28.110	00:00:00.110	4	578.9081	162.623	0.7009056	0.5343155	727.806	3.079556	0	591.1602	186.6552	0.4483958	0.5562746	728.063	3.05564	0	1	585	175						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		445	0	110096	18282750125	
130	16:27:28.130	00:00:00.129	5	581.1637	176.4858	0.7011429	0.5353738	727.806	3.045662	0	583.3776	196.3291	0.4485135	0.5572882	728.063	3.035753	0	1	582	186						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		442	11	129950	18282769979	
150	16:27:28.150	00:00:00.149	6	565.9471	171.5462	0.7013187	0.5361384	727.806	3.168182	0	591.4212	181.6943	0.4486271	0.5581114	728.063	3.083631	0	1	579	177						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		439	2	149951	18282789980	
170	16:27:28.170	00:00:00.169	7	569.2255	157.1005	0.7016062	0.5365947	727.806	3.124264	0	600.3021	192.1255	0.4488877	0.5583785	728.063	3.091285	0	1	585	175						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		445	0	169949	18282809978	
190	16:27:28.190	00:00:00.189	8	566.1439	166.7408	0.7020122	0.5366626	726.0395	3.134209	0	598.2446	200.7076	0.4491701	0.5585297	725.4257	3.087952	0	1	582	184						1934.394med_resized.jpg	0	1000	673	140	175	439	7	299	0	Content		442	9	189817	18282829846	
